index,id,bestName,catalogLabel,archiveFilename,fileSize,progType,category,platform,aolVersion,author,authorConfidence,categoryConfidence,versionConfidence,sourceConfidence,localFile,referenceUrl,rawSourceUrl,oldWebDownloadLinks,mirrorLeads,webResearchMentions,screenshots,embeddedUrls,manualReviewFlags,tags,detailPage
13,prog-0013-01,Idled,01,idled.zip,1.4 MB,Idler / AFK bot,uncategorized,AOL,"AOL 4.0; archive text: AOL 5, AOL 6, AOL 4",vsx,catalog only,readme/archive text,readme/archive text,local + old-web lead,files/aol/aol-4-0/0013-01.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/idled.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/idled.zip,1,0,0,0,2,category uncertain; no screenshot or image lead,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-embedded-urls; has-old-web-downloads; has-readme-aol-version-clues; has-readme-purpose-clues; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0013-idled.md
14,prog-0014-0sw,Old School Wreshet In 2000,0sw,old school wreshet password=0SW in 2000.zip,1.1 MB,Account / TOS utility,account or TOS tool,AOL,AOL 4.0,fifa,catalog only,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0014-0sw.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/old%20school%20wreshet%20password%3D0SW%20in%202000.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/old%20school%20wreshet%20password%3D0SW%20in%202000.zip,1,0,0,0,0,no screenshot or image lead; sensitive historical category; no readable text evidence,account-or-tos-tool; aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; vb3,docs/generated/applications/pages/0-9-symbols/0014-old-school-wreshet-in-2000.md
15,prog-0015-1337crack2,1337crack2,1337crack2,1337crack2 aol cracker.zip,2.7 MB,Account / TOS utility,uncategorized,AOL,"Mixed/unknown; archive text: AOL 000, AOL 0000, AOL 0003, AOL 0005, AOL 0006, AOL 0007, AOL 0008, AOL 0009, AOL 001, AOL 0016",unknown,unknown,readme/archive text,readme/archive text,local + old-web lead,files/aol/mixed/0015-1337crack2.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/1337crack2%20aol%20cracker.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/1337crack2%20aol%20cracker.zip,1,2,0,0,0,author unknown; category uncertain; no screenshot or image lead,aol; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-aol-version-clues; has-readme-purpose-clues; mixedunknown; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0015-1337crack2.md
16,prog-0016-139,139,139,139.zip,978 KB,Unknown / needs review,uncategorized,AOL,AOL 4.0,Impulse,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0016-139.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/139.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/139.zip,1,1,0,0,0,category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0016-139.md
17,prog-0017-1800collect,1800collect,1800collect,collect.zip,1.7 MB,Unknown / needs review,uncategorized,AOL,AOL 4.0,unknown,unknown,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0017-1800collect.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/collect.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/collect.zip,2,3,0,0,0,author unknown; category uncertain; type uncertain,aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0017-1800collect.md
18,prog-0018-187-reset,187 Reset,187 Reset,187reset.zip,2.7 MB,Unknown / needs review,uncategorized,AOL,AOL 4.0,Syke in VB6,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0018-187-reset.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/187reset.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/187reset.zip,1,1,0,0,0,category uncertain; type uncertain; no screenshot or image lead,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0018-187-reset.md
19,prog-0019-1im,1im,1im,1im.zip,420 KB,Unknown / needs review,uncategorized,AOL,AOL 4.0,GenOziDe,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0019-1im.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/1im.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/1im.zip,1,1,0,0,0,category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb3,docs/generated/applications/pages/0-9-symbols/0019-1im.md
20,prog-0020-2000,Vs. 2000,2000,vs. 2000 password=vb3hacker.zip,22 B,Account / TOS utility,account or TOS tool,AOL,AOL 4.0,unknown,unknown,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0020-2000.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/vs.%202000%20password%3Dvb3hacker.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/vs.%202000%20password%3Dvb3hacker.zip,1,0,0,0,0,author unknown; no screenshot or image lead; sensitive historical category; no readable text evidence,account-or-tos-tool; aol; aol-4-0; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; password-metadata,docs/generated/applications/pages/0-9-symbols/0020-vs-2000.md
21,prog-0021-2001-server-toolz-chillz,2001 Server Toolz - Chillz,2001 Server Toolz - Chillz,2001st.zip,1.3 MB,All-in-one prog suite,all-in-one prog,AOL,AOL 4.0,unknown,unknown,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0021-2001-server-toolz-chillz.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2001st.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2001st.zip,1,1,0,0,0,author unknown; no screenshot or image lead; no readable text evidence,all-in-one-prog; aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0021-2001-server-toolz-chillz.md
22,prog-0022-2001-server-toolz-2-0-chillz,2001 Server Toolz 2.0 - Chillz,2001 Server Toolz 2.0 - Chillz,2001st2.zip,1.4 MB,All-in-one prog suite,all-in-one prog,AOL,AOL 4.0,unknown,unknown,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0022-2001-server-toolz-2-0-chillz.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2001st2.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2001st2.zip,1,1,0,0,0,author unknown; no screenshot or image lead; no readable text evidence,all-in-one-prog; aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0022-2001-server-toolz-2-0-chillz.md
23,prog-0023-2dope,Two Dope Toser 1.2,2dope,two dope toser 1.2.zip,22 B,Unknown / needs review,uncategorized,AOL,AOL 2.5,unknown,unknown,needs review,catalog bucket,local + old-web lead,files/aol/aol-2-5/0023-2dope.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/two%20dope%20toser%201.2.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/two%20dope%20toser%201.2.zip,1,0,0,0,0,author unknown; category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-2-5; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized,docs/generated/applications/pages/0-9-symbols/0023-two-dope-toser-1-2.md
24,prog-0024-2pacmmer,2pacmmer,2pacmmer,2pacmmer.zip,50 KB,Unknown / needs review,uncategorized,AOL,AOL 4.0,ProGGer,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0024-2pacmmer.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2pacmmer.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/2pacmmer.zip,1,1,0,0,0,category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb3,docs/generated/applications/pages/0-9-symbols/0024-2pacmmer.md
25,prog-0025-3-6-idle,3-6 Idle,3-6 Idle,36idle.zip,1.4 MB,Idler / AFK bot,idler or bot,AOL,AOL 4.0,unknown,unknown,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0025-3-6-idle.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/36idle.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/36idle.zip,1,0,0,0,0,author unknown; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; idler-or-bot; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0025-3-6-idle.md
26,prog-0026-3-0-anticrack-by-ando-install,3.0 AntiCrack By ßãñdö Install,3.0 AntiCrack By ßãñdö Install,3.0 anticrack aol5+8+9 yr2006 xp2k.zip,1018 KB,Account / TOS utility,uncategorized,AOL,AOL 5,Init failed (%d,catalog only,readme/archive text,readme/archive text,local + old-web lead,files/aol/mixed/0026-3-0-anticrack-by-ando-install.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/3.0%20anticrack%20aol5%2B8%2B9%20yr2006%20xp2k.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/3.0%20anticrack%20aol5%2B8%2B9%20yr2006%20xp2k.zip,1,0,0,0,0,category uncertain; no screenshot or image lead,aol; compile-na; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-aol-version-clues; has-readme-purpose-clues; mixedunknown; needs-manual-review; non-vb; uncategorized,docs/generated/applications/pages/0-9-symbols/0026-3-0-anticrack-by-ando-install.md
27,prog-0027-3dmaze,3DMaze,3DMaze,3dmaze.zip,2.4 MB,Unknown / needs review,uncategorized,AOL,AOL 4.0,Maze,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0027-3dmaze.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/3dmaze.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/3dmaze.zip,2,1,0,0,0,category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb4-32,docs/generated/applications/pages/0-9-symbols/0027-3dmaze.md
28,prog-0028-3k,Bauhaus 3k,3k,bauhaus3k.zip,2.9 MB,Unknown / needs review,uncategorized,AOL,AOL 4.0,JeQ,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0028-3k.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/bauhaus3k.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/bauhaus3k.zip,2,1,0,0,0,category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb4-32,docs/generated/applications/pages/0-9-symbols/0028-bauhaus-3k.md
29,prog-0029-420pwc,420pwc,420pwc,420pwc.zip,1005 KB,Unknown / needs review,uncategorized,AOL,Mixed/unknown,unknown,unknown,needs review,unknown,local + old-web lead,files/aol/mixed/0029-420pwc.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/420pwc.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/420pwc.zip,1,1,0,0,0,author unknown; category uncertain; type uncertain; no screenshot or image lead,aol; compile-na; duplicate-metadata; file-ready; has-old-web-downloads; mixedunknown; needs-manual-review; non-vb; uncategorized,docs/generated/applications/pages/0-9-symbols/0029-420pwc.md
30,prog-0030-420sups,420SUPS,420SUPS,420world.zip,565 KB,Media / file utility,uncategorized,AOL,AOL 3.0; archive text: AOL 30,Dratek,catalog only,readme/archive text,readme/archive text,local + old-web lead,files/aol/aol-3-0/0030-420sups.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/3.0/420world.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/3.0/420world.zip,2,1,0,0,0,category uncertain; no screenshot or image lead,aol; aol-3-0; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-aol-version-clues; has-readme-purpose-clues; needs-manual-review; password-metadata; uncategorized,docs/generated/applications/pages/0-9-symbols/0030-420sups.md
31,prog-0031-4im,4imxpver,4im,4imxpver.zip,836 KB,Fader / text styler,uncategorized,AOL,AOL 4.0,unknown,unknown,readme/archive text,catalog bucket,local + old-web lead,files/aol/aol-4-0/0031-4im.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4imxpver.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4imxpver.zip,1,1,0,0,0,author unknown; category uncertain; no screenshot or image lead,aol; aol-4-0; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-purpose-clues; needs-manual-review; uncategorized; vb4-32,docs/generated/applications/pages/0-9-symbols/0031-4imxpver.md
32,prog-0032-4sho-player-2,4Sho Player ²,4Sho Player ²,4sho2beta.zip,2.3 MB,Media / file utility,uncategorized,AOL,AOL 4.0,FONT COLOR=#000098,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0032-4sho-player-2.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4sho2beta.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/4sho2beta.zip,1,1,0,0,0,category uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0032-4sho-player-2.md
